RECEIVED_DATE,EMPLOYER_STATE_PROVINCE,PW_SOC_CODE,PW_SOC_TITLE,SOC_MAJOR_GROUP,PW_SKILL_LEVEL,PW_WAGE,WORKSITE_STATE,MINIMUM_EDUCATION,SUBMISSION_MONTH,SUBMISSION_YEAR,CASE_STATUS,PROCESSING_TIME_DAYS
2023-02-27,ILLINOIS,25-1067.00,"Sociology Teachers, Postsecondary",25,Level I,44490.0,ILLINOIS,Doctorate,2,2023,Denied,582
2022-10-03,NORTH CAROLINA,11-3031,Financial Managers,11,Level I,125986.0,NEW YORK,Bachelor's,10,2022,Denied,730
2022-07-22,CONNECTICUT CT,11-9051,Food Service Managers,11,Level IV,119434.0,CONNECTICUT,High School,7,2022,Denied,803
2022-06-20,FLORIDA,11-9013,Regional Farm Manager,11,Level IV,161866.0,FLORIDA,Bachelor's,6,2022,Denied,835
2022-09-30,GEORGIA,11-9021,Construction Managers,11,Level II,83762.0,GEORGIA,Unknown,9,2022,Denied,733
2022-06-22,SOUTH CAROLINA,13-1111,Management Analyst,13,Level I,58469.0,SOUTH CAROLINA,Unknown,6,2022,Denied,833
2022-06-23,CALIFORNIA,13-2011,Accountant,13,Level I,67205.0,CALIFORNIA,Bachelor's,6,2022,Denied,832
2022-07-28,NEW YORK,13-2051,Financial Analysts,13,Level III,130021.0,NEW YORK,Master's,7,2022,Denied,797
2021-06-11,CALIFORNIA,15-1111,Computer and Information Research Scientists,15,Level II,107245.0,CALIFORNIA,Doctorate,6,2021,Denied,1209
2022-10-31,CALIFORNIA,15-1121,Computer Systems Analysts,15,Level IV,130957.0,CALIFORNIA,Master's,10,2022,Denied,702
2021-10-15,CALIFORNIA,15-1132,"Software Developers, Applications",15,Level II,121763.0,CALIFORNIA,Master's,10,2021,Denied,1083
2022-04-25,CALIFORNIA,15-1132,"Software Developers, Applications",15,Level II,130894.0,CALIFORNIA,Master's,4,2022,Denied,891
2022-03-23,FLORIDA,15-1132,"Software Developers, Applications",15,Level II,75338.0,FLORIDA,Master's,3,2022,Denied,924
2022-06-14,NEW JERSEY,15-1132,Java Software Developer,15,Level II,89128.0,NEW JERSEY,Master's,6,2022,Denied,841
2022-06-29,OREGON,15-1132,"Software Developers, Applications",15,Level II,93018.0,OREGON,Master's,6,2022,Denied,826
2022-06-28,OREGON,15-1132,"Software Developers, Applications",15,Level I,74734.0,OREGON,Bachelor's,6,2022,Denied,827
2022-10-01,TEXAS 75024,15-1132,"Software Developers, Applications",15,Level II,76898.0,TEXAS,Bachelor's,10,2022,Denied,732
2022-10-21,NEW JERSEY,15-1132,"Software Developers, Applications",15,Level II,109283.0,NEW JERSEY,Master's,10,2022,Denied,712
2022-10-22,NEW JERSEY,15-1132,"Software Developers, Applications",15,Level II,109283.0,NEW JERSEY,Master's,10,2022,Denied,711
2021-03-07,CALIFORNIA,15-1133,"Software Developers, Systems Software",15,Level II,120931.0,CALIFORNIA,Master's,3,2021,Denied,1305
2021-09-19,CALIFORNIA,15-1133,"Software Developers, Systems Software",15,Level II,120931.0,CALIFORNIA,Master's,9,2021,Denied,1109
2021-11-18,NEW YORK,15-1141,Database Administrators,15,Level II,95680.0,NEW YORK,Master's,11,2021,Denied,1049
2021-03-07,CALIFORNIA,15-1199,Business Intelligence Analysts,15,Level III,120370.0,CALIFORNIA,Master's,3,2021,Denied,1305
2021-09-27,CALIFORNIA,15-1199,"Computer Occupations, All Other",15,Unknown,120569.0,CALIFORNIA,Master's,9,2021,Denied,1101
2022-07-18,NEW YORK,15-1199,Search Marketing Strategist,15,Level I,45282.0,NEW YORK,Bachelor's,7,2022,Denied,807
2022-10-06,CALIFORNIA,15-1199,Computer Systems EngineersArchitects,15,Level IV,109595.0,CALIFORNIA,Bachelor's,10,2022,Denied,727
2022-11-07,MICHIGAN,15-1199,"Computer Occupations, All Other",15,Level II,56264.0,MICHIGAN,Master's,11,2022,Certified,695
2022-10-26,OHIO,15-1211.00,Computer Systems Analysts,15,Level IV,138590.0,NEW YORK,Bachelor's,10,2022,Denied,707
2022-10-24,NEW JERSEY,15-1252.00,"Software Developers, Applications",15,Level II,109283.0,NEW JERSEY,Master's,10,2022,Denied,709
2022-11-15,PENNSYLVANIA,15-1252.00,Software Developers,15,Level IV,132330.0,PENNSYLVANIA,Bachelor's,11,2022,Certified,687
2021-10-07,PENNSYLVANIA,15-2031,Operations Research Analysts,15,Level I,54205.0,PENNSYLVANIA,Master's,10,2021,Certified,1091
2022-10-24,NEW YORK,15-2031,Operations Research Analysts,15,Level II,76440.0,MASSACHUSETTS,Master's,10,2022,Denied,709
2021-08-30,CALIFORNIA,15-2041,Statisticians,15,Level II,103002.0,CALIFORNIA,Doctorate,8,2021,Denied,1129
2022-11-11,ILLINOIS,17-2051,Civil Engineers,17,Level II,82451.0,ILLINOIS,Master's,11,2022,Certified,691
2022-11-09,DELAWARE,17-2141,Mechanical Engineers,17,Level II,79539.0,DELAWARE,Master's,11,2022,Denied,693
2022-06-22,CALIFORNIA,23-2011,Paralegal,23,Level III,76024.0,CALIFORNIA,Master's,6,2022,Denied,833
2022-06-27,TEXAS,25-2053,"Special Education Teachers, Middle School",25,Level II,57677.0,TEXAS,Bachelor's,6,2022,Denied,828
2022-05-09,ILLINOIS,27-1025,Senior Designer,27,Level II,54725.0,ILLINOIS,Bachelor's,5,2022,Denied,877
2022-06-23,OKLAHOMA,27-1025,Interior Designer,27,Level I,31990.0,OKLAHOMA,Bachelor's,6,2022,Denied,832
2022-09-28,FLORIDA,27-2022.00,Tennis Coach,27,Level III,46393.0,FLORIDA,Master's,9,2022,Denied,735
2022-12-16,RHODE ISLAND,29-1051,Pharmacists,29,Level II,102315.0,MISSOURI,Other,12,2022,Certified,656
2022-06-30,MINNESOTA,31-1011,Home Health Aide,31,Level I,25646.0,MINNESOTA,High School,6,2022,Denied,825
2021-11-19,VIRGINIA,31-1014,Nursing  Assistants,31,Level I,27643.0,VIRGINIA,Unknown,11,2021,Denied,1048
2021-11-19,VIRGINIA,31-1014,Nursing  Assistants,31,Level I,27643.0,VIRGINIA,Unknown,11,2021,Denied,1048
2021-11-22,VIRGINIA,31-1014,Nursing  Assistants,31,Level I,27643.0,VIRGINIA,Unknown,11,2021,Denied,1045
2021-11-22,VIRGINIA,31-1014,Nursing  Assistants,31,Level I,27643.0,VIRGINIA,Unknown,11,2021,Denied,1045
2021-11-19,VIRGINIA,31-1014,Nursing  Assistants,31,Level I,27643.0,VIRGINIA,Unknown,11,2021,Denied,1048
2021-11-23,VIRGINIA,31-1014,Nursing  Assistants,31,Level I,27643.0,VIRGINIA,Unknown,11,2021,Denied,1044
2021-11-30,VIRGINIA,31-1014,Nursing  Assistants,31,Level I,27643.0,VIRGINIA,Unknown,11,2021,Denied,1037
2022-09-22,UTAH,31-9092,Medical Assistan,31,Level III,17.83,UTAH,Associate's,9,2022,Denied,741
2022-06-03,VIRGINIA,35-1011,Pastry Chef,35,Level III,61818.0,VIRGINIA,High School,6,2022,Denied,852
2022-06-17,NORTH CAROLINA,35-1012,FirstLine Supervisors of Food Preparation and Serving Workers,35,Level I,24710.0,FLORIDA,High School,6,2022,Denied,838
2022-09-22,NEW YORK,37-1012,LANDSCAPE SUPERVISOR,37,Level III,66019.0,NEW YORK,Unknown,9,2022,Denied,741
2022-10-27,MISSOURI,37-3011,Landscape Laborer,37,Level I,25085.0,MISSOURI,Unknown,10,2022,Denied,706
2022-10-13,MISSOURI,37-3011,Landscape Laborer,37,Level I,25085.0,MISSOURI,Unknown,10,2022,Denied,720
2022-10-13,MISSOURI,37-3011,Landscape Laborer,37,Level I,25085.0,MISSOURI,Unknown,10,2022,Denied,720
2022-10-13,MISSOURI,37-3011,Landscape Laborer,37,Level I,25085.0,MISSOURI,Unknown,10,2022,Denied,720
2022-10-13,MISSOURI,37-3011,Landscape Laborer,37,Level I,25085.0,MISSOURI,Unknown,10,2022,Denied,720
2022-10-13,MISSOURI,37-3011,Landscape Laborer,37,Level I,25085.0,MISSOURI,Unknown,10,2022,Denied,720
2022-10-13,MISSOURI,37-3011,Landscape Laborer,37,Level I,25085.0,MISSOURI,Unknown,10,2022,Denied,720
2022-06-17,PENNSYLVANIA,39-9021,Personal Care Aides,39,Level III,28080.0,PENNSYLVANIA,Unknown,6,2022,Denied,838
2022-03-04,NEW JERSEY NJ,39-9032,Recreation Workers,39,Level I,26250.0,NEW JERSEY,High School,3,2022,Denied,943
2021-10-18,NEW YORK,41-3031,"SALES AGENTS, SECURITIES AND COMMODITIES",41,Level IV,196976.0,NEW YORK,Master's,10,2021,Certified,1080
2022-06-23,NEW YORK,43-3031,Accounting Associate,43,Level III,50960.0,NEW YORK,High School,6,2022,Denied,832
2022-09-01,TEXAS,43-3031.00,"BOOKKEEPING, ACCOUNTING, AND AUDITING CLERKS",43,Level III,45677.0,TEXAS,Unknown,9,2022,Denied,762
2022-06-02,CALIFORNIA,43-4051,Customer Service Representatives,43,Level IV,48131.0,CALIFORNIA,High School,6,2022,Denied,853
2022-06-30,FLORIDA,43-6014,Administrative Assistant,43,Level I,24586.0,FLORIDA,High School,6,2022,Denied,825
2022-06-28,CALIFORNIA,43-9061,OFFICE CLERK,43,Level I,16.88,CALIFORNIA,High School,6,2022,Denied,827
2022-06-17,OKLAHOMA,49-1011,PRODUCTION CREW SUPERVISOR,49,Level IV,82659.0,OKLAHOMA,Associate's,6,2022,Denied,838
2022-09-26,TEXAS,49-2011,"Computer, Automated Teller And Machine Repairers",49,Level I,26312.0,TEXAS,Unknown,9,2022,Denied,737
2022-06-29,NORTH CAROLINA,49-2096,12v Technician,49,Level I,40706.0,NORTH CAROLINA,High School,6,2022,Denied,826
2022-09-07,NEBRASKA,53-3032,Truck Driver,53,Level IV,56826.0,NEBRASKA,High School,9,2022,Denied,756
2022-09-13,NEBRASKA,53-3032,Heavy and TractorTrailer Truck Drivers,53,Level I,34840.0,NEBRASKA,Unknown,9,2022,Denied,750
2022-09-13,NEBRASKA,53-3032,Heavy and TractorTrailer Truck Drivers,53,Level I,34840.0,NEBRASKA,Unknown,9,2022,Denied,750
2022-09-22,UTAH,53-3032,TRUCK DRIVING,53,Unknown,21.0,UTAH,High School,9,2022,Denied,741
2022-09-22,UTAH,53-3032,SUPERVISOR TRUCK DRIVER,53,Unknown,21.0,UTAH,High School,9,2022,Denied,741
2022-09-22,UTAH,53-3032,TRUCK DRIVEROFFICE ASSISTANT,53,Unknown,20.0,UTAH,High School,9,2022,Denied,741
2022-09-22,UTAH,53-3032,TRUCK DRIVING,53,Unknown,21.0,UTAH,High School,9,2022,Denied,741
2022-11-14,CALIFORNIA,53-3032.00,TRUCK DRIVER,53,Level II,20.75,CALIFORNIA,Unknown,11,2022,Denied,688
2022-11-14,CALIFORNIA,53-3032.00,TRUCK DRIVER,53,Level II,20.75,CALIFORNIA,Unknown,11,2022,Denied,688
2022-11-14,CALIFORNIA,53-3032.00,TRUCK DRIVER,53,Level II,20.75,CALIFORNIA,Unknown,11,2022,Denied,688
2022-11-14,CALIFORNIA,53-3032.00,TRUCK DRIVER,53,Level II,20.75,CALIFORNIA,Unknown,11,2022,Denied,688
2022-11-15,CALIFORNIA,53-3032.00,TRUCK DRIVER,53,Level II,20.75,CALIFORNIA,Unknown,11,2022,Denied,687
2022-11-16,CALIFORNIA,53-3032.00,TRUCK DRIVER,53,Level II,20.75,CALIFORNIA,Unknown,11,2022,Denied,686
2022-11-16,CALIFORNIA,53-3032.00,TRUCK DRIVER,53,Level II,20.75,CALIFORNIA,Unknown,11,2022,Denied,686
2022-12-01,CALIFORNIA,53-3032.00,TRUCK DRIVER,53,Level II,20.75,CALIFORNIA,Unknown,12,2022,Denied,671
2022-07-29,GEORGIA,53-7064,"Packers and Packagers, Hand",53,Level I,19968.0,GEORGIA,Unknown,7,2022,Denied,796
2022-08-11,FLORIDA ORANGE,11-2011.00,EVENTS COORDINATOR,11,Level I,55682.0,FLORIDA,Bachelor's,8,2022,Certified,785
2022-11-04,TEXAS,15-1132,"Software Developers, Applications",15,Level II,94037.0,TEXAS,Bachelor's,11,2022,Certified,700
2022-11-04,TEXAS,15-1132,"Software Developers, Applications",15,Level II,94037.0,TEXAS,Bachelor's,11,2022,Certified,700
2022-11-04,TEXAS,15-1132,"Software Developers, Applications",15,Level II,94037.0,TEXAS,Bachelor's,11,2022,Certified,700
2022-11-04,TEXAS,15-1132,"Software Developers, Applications",15,Level II,94037.0,TEXAS,Bachelor's,11,2022,Certified,700
2022-10-31,CALIFORNIA,15-1133,"Software Developers, Systems Software",15,Level IV,139818.0,CALIFORNIA,Bachelor's,10,2022,Certified,704
2022-11-04,PENNSYLVANIA,15-1199,"Computer Occupations, All Other",15,Level IV,100006.0,PENNSYLVANIA,Bachelor's,11,2022,Certified,700
2022-12-12,CALIFORNIA,17-2112,Industrial Engineer,17,Level I,68037.0,CALIFORNIA,Bachelor's,12,2022,Certified,662
2022-11-04,MICHIGAN,17-2141,Design Mechanical Engineer,17,Level I,67829.0,MICHIGAN,Bachelor's,11,2022,Certified,700
2022-11-01,NEW YORK,35-2021,Food Preparer,35,Level I,24274.0,NEW YORK,Unknown,11,2022,Certified,703
2022-11-11,NEVADA,37-2011,JANITOR,37,Level I,20779.0,NEVADA,Unknown,11,2022,Certified,693
2022-12-21,MASSACHUSETTS,39-9011.01,LiveIn Nanny,39,Level IV,35693.0,MASSACHUSETTS,Unknown,12,2022,Certified,653
2022-08-18,DISTRICT OF COLUMBIA,43-6012,Legal Secretaries,43,Level III,73736.0,DISTRICT OF COLUMBIA,Bachelor's,8,2022,Certified,778
2022-08-17,NEW JERSEY,27-2041,Religious Music Director,27,Level II,60466.0,NEW JERSEY,Bachelor's,8,2022,Certified,783
2023-05-31,MONTANA,45-2092.00,Farm Worker,45,Level I,25688.0,MONTANA,Unknown,5,2023,Denied,496
2022-08-22,TEXAS,11-3051,Industrial Production Managers,11,Level II,82680.0,TEXAS,Bachelor's,8,2022,Certified,779
2022-06-07,NEW YORK,11-2021,Marketing Managers,11,Unknown,125681.0,NEW YORK,Bachelor's,6,2022,Denied,855
2022-09-27,FLORIDA,13-1151,Training and Development Specialists,13,Level I,34819.0,FLORIDA,Bachelor's,9,2022,Denied,743
2022-10-18,NEW JERSEY,15-1121,Computer Systems Analysts,15,Unknown,110177.0,GEORGIA,Bachelor's,10,2022,Denied,722
2022-11-02,CALIFORNIA,15-1132,"Software Developers, Applications",15,Level IV,139818.0,CALIFORNIA,Master's,11,2022,Denied,707
2022-10-21,MISSOURI,15-1132,"Software Developers, Applications",15,Level IV,124883.0,PENNSYLVANIA,Bachelor's,10,2022,Denied,719
2022-06-28,NORTHERN MARIANA ISLANDS,15-1143,IP Network Engineer,15,Unknown,20.06,NORTHERN MARIANA ISLANDS,Bachelor's,6,2022,Denied,834
2022-12-01,COLORADO,15-1199,Business Intelligence Analysts,15,Level II,68432.0,MASSACHUSETTS,Master's,12,2022,Certified,678
2022-06-29,MASSACHUSETTS,15-1199,"Computer Occupations, All Other",15,Level I,66872.0,MASSACHUSETTS,Bachelor's,6,2022,Denied,833
2022-07-05,NEW YORK,15-1211.00,IT AND COMPUTER SYSTEM ADMINISTRATOR,15,Unknown,70616.0,NEW YORK,Bachelor's,7,2022,Denied,827
2022-11-02,OHIO,15-1243.00,Software Developer,15,Level IV,121222.0,OHIO,Bachelor's,11,2022,Denied,707
2022-12-14,CALIFORNIA,15-1244.00,Network and Computer Systems Administrators,15,Level IV,115627.0,CALIFORNIA,Bachelor's,12,2022,Certified,665
2022-11-18,NEW YORK,15-1244.00,Network and Computer System Administrator,15,Level II,43.53,NEW YORK,Bachelor's,11,2022,Denied,691
2022-10-24,NEW JERSEY,15-1252.00,Software Developer,15,Level II,109283.0,NEW JERSEY,Master's,10,2022,Denied,716
2022-12-02,CALIFORNIA,15-1252.00,Software Developers,15,Level II,84614.0,PENNSYLVANIA,Master's,12,2022,Denied,677
2022-09-06,OHIO,17-2071,Instrumentation  Controls Engineer,17,Level II,74152.0,OHIO,Master's,9,2022,Denied,764
2022-10-07,MISSISSIPPI copiah county schools,25-2031,Secondary School Teacher Mathematics,25,Level I,33850.0,MISSISSIPPI,Bachelor's,10,2022,Denied,733
2022-08-02,WISCONSIN,31-1011,Caregiver,31,Level III,26936.0,WISCONSIN,High School,8,2022,Denied,799
2022-08-02,WISCONSIN,31-1011,Caregiver,31,Level III,26936.0,WISCONSIN,High School,8,2022,Denied,799
2021-11-22,VIRGINIA,31-1014,Nursing  Assistants,31,Level I,27643.0,VIRGINIA,Unknown,11,2021,Denied,1052
2021-11-23,VIRGINIA,31-1014,Nursing  Assistants,31,Level I,27643.0,VIRGINIA,Unknown,11,2021,Denied,1051
2021-11-22,VIRGINIA,31-1014,Nursing  Assistants,31,Level I,27643.0,VIRGINIA,Unknown,11,2021,Denied,1052
2021-11-29,VIRGINIA,31-1014,Nursing  Assistants,31,Level I,27643.0,VIRGINIA,Unknown,11,2021,Denied,1045
2021-11-22,VIRGINIA,31-1014,Nursing  Assistants,31,Level I,27643.0,VIRGINIA,Unknown,11,2021,Denied,1052
2021-11-24,VIRGINIA,31-1014,Nursing  Assistants,31,Level I,27643.0,VIRGINIA,Unknown,11,2021,Denied,1050
2021-11-23,VIRGINIA,31-1014,Nursing  Assistants,31,Level I,27643.0,VIRGINIA,Unknown,11,2021,Denied,1051
2021-11-19,VIRGINIA,31-1014,Nursing  Assistants,31,Level I,27643.0,VIRGINIA,Unknown,11,2021,Denied,1055
2021-11-23,VIRGINIA,31-1014,Nursing  Assistants,31,Level I,27643.0,VIRGINIA,Unknown,11,2021,Denied,1051
2021-11-22,VIRGINIA,31-1014,Nursing  Assistants,31,Level I,27643.0,VIRGINIA,Unknown,11,2021,Denied,1052
2022-12-01,VIRGINIA,35-2014,Cook,35,Level IV,36005.0,VIRGINIA,Unknown,12,2022,Denied,678
2022-10-21,VIRGINIA,35-2014.00,Cook Help,35,Level I,27893.0,VIRGINIA,High School,10,2022,Denied,719
2022-12-01,VIRGINIA,35-2014.00,Cook,35,Level IV,36005.0,VIRGINIA,Unknown,12,2022,Denied,678
2022-06-30,TEXAS,35-9031,STORE MANAGER,35,Level IV,23358.0,TEXAS,Associate's,6,2022,Denied,832
2022-11-07,MICHIGAN,37-2011,"Janitors and Cleaners, Except Maids and House Keepers",37,Level I,24294.0,ILLINOIS,Unknown,11,2022,Denied,702
2022-11-07,MICHIGAN,37-2011,"Janitors and Cleaners, Except Maids and House Keepers",37,Level I,24294.0,ILLINOIS,Unknown,11,2022,Denied,702
2022-11-07,MICHIGAN,37-2011,"Janitors and Cleaners, Except Maids and House Keepers",37,Level I,24294.0,ILLINOIS,Unknown,11,2022,Denied,702
2022-11-07,MICHIGAN,37-2011,"Janitors and Cleaners, Except Maids and House Keepers",37,Level I,24294.0,ILLINOIS,Unknown,11,2022,Denied,702
2022-11-07,MICHIGAN,37-2011,"Janitors and Cleaners, Except Maids and House Keepers",37,Level I,24294.0,ILLINOIS,Unknown,11,2022,Denied,702
2022-11-20,MISSOURI,37-3011,Landscape Laborer,37,Level I,25085.0,MISSOURI,Unknown,11,2022,Denied,689
2022-11-20,MISSOURI,37-3011,Landscape Laborer,37,Level I,25085.0,MISSOURI,Unknown,11,2022,Denied,689
2022-11-20,MISSOURI,37-3011,Landscape Laborer,37,Level I,25085.0,MISSOURI,Unknown,11,2022,Denied,689
2022-11-20,MISSOURI,37-3011,Landscape Laborer,37,Level I,25085.0,MISSOURI,Unknown,11,2022,Denied,689
2022-11-11,NORTH DAKOTA,49-2092.00,Field Service Technician,49,Level III,23.48,NORTH DAKOTA,Bachelor's,11,2022,Denied,698
2022-07-19,UTAH,49-3023,Automotive Service Technicians and Mechanics,49,Level I,25605.0,UTAH,High School,7,2022,Denied,813
2022-06-02,SOUTH CAROLINA,53-1021,Supervisor,53,Level II,45032.0,SOUTH CAROLINA,Unknown,6,2022,Denied,860
2022-09-05,TEXAS,53-3032,Heavy and TractorTrailer Truck Drivers,53,Level I,33155.0,TEXAS,Unknown,9,2022,Certified,765
2022-09-23,TEXAS,53-3032,Heavy and TractorTrailer Truck Drivers,53,Level I,33155.0,TEXAS,Unknown,9,2022,Certified,747
2022-09-28,TEXAS,53-3032,Heavy and TractorTrailer Truck Drivers,53,Level I,33155.0,TEXAS,Unknown,9,2022,Certified,742
2022-09-28,TEXAS,53-3032,Heavy and TractorTrailer Truck Drivers,53,Level I,33155.0,TEXAS,Unknown,9,2022,Certified,742
2022-09-22,UTAH,53-3032,TRUCK DRIVER ASSISTAN,53,Unknown,20.0,UTAH,Unknown,9,2022,Denied,748
2022-10-05,CALIFORNIA,53-3032.00,TRUCK DRIVER,53,Level II,20.75,CALIFORNIA,Unknown,10,2022,Denied,735
2022-10-31,CALIFORNIA,53-3032.00,TRUCK DRIVER,53,Level II,20.75,CALIFORNIA,Unknown,10,2022,Denied,709
2022-10-31,CALIFORNIA,53-3032.00,TRUCK DRIVER,53,Level II,20.75,CALIFORNIA,Unknown,10,2022,Denied,709
2022-09-12,PENNSYLVANIA,13-1161,Marketing Specialist,13,Level I,56576.0,PENNSYLVANIA,Master's,9,2022,Certified,759
2022-11-07,FLORIDA,15-1243.01,Data Warehousing Specialists,15,Level IV,132829.0,FLORIDA,Master's,11,2022,Certified,703
2022-09-01,OHIO,47-2111.00,OUTDOOR LIGHTING INSTALLER,47,Level I,37835.0,OHIO,Unknown,9,2022,Certified,770
2022-09-01,OHIO,47-2111.00,OUTDOOR LIGHTING INSTALLER,47,Level I,37835.0,OHIO,Unknown,9,2022,Certified,770
2022-09-01,OHIO,47-4091.00,PAVER,47,Level I,26603.0,OHIO,Unknown,9,2022,Certified,770
2022-09-01,OHIO,47-4091.00,PAVER,47,Level I,26603.0,OHIO,Unknown,9,2022,Certified,770
2022-12-21,GEORGIA,15-1132,"Software Developers, Applications",15,Level IV,122616.0,GEORGIA,Bachelor's,12,2022,Certified,660
2023-01-02,TEXAS,15-2031,Operations Research Analysts,15,Level II,68411.0,TEXAS,Master's,1,2023,Certified,648
2022-11-11,TENNESSEE,17-2112,Industrial Engineers,17,Level I,65666.0,MICHIGAN,Bachelor's,11,2022,Certified,700
2022-11-11,TENNESSEE,17-2112,Industrial Engineers,17,Level I,65666.0,MICHIGAN,Bachelor's,11,2022,Certified,700
2022-07-24,WISCONSIN,35-2014,Cook  Chinese Cuisine,35,Level IV,30805.0,WISCONSIN,Unknown,7,2022,Denied,810
2023-03-09,CALIFORNIA,17-2141,Mechanical Engineers,17,Level I,84490.0,CALIFORNIA,Bachelor's,3,2023,Denied,586
